Type,Title,Organization,Status,Availability or Year,Geography,Community,Community Type,Best For,Project Stage,Topics,Summary,Why It May Help,Amount or Cost,Match or Cost,Official URL,Last Checked,Record ID
Community Example,"Bridgeport, Connecticut Climate Preparedness Workshops",U.S. Climate Resilience Toolkit,Published case study,2012,Connecticut,Bridgeport,town_or_city,Communities looking for comparable examples,Implementation,"Climate Resilience; Erosion and Shoreline Recession; Flooding - Coastal; Flooding - General; Flooding - Rainfall-induced; Shifting Species, Habitats, and Ecosystems","The Bridgeport Climate Preparedness Workshops: Summary of Findings report is the culmination of an engagement process focused on comprehensively reducing risk and improving resilience in the City of Bridgeport, Connecticut through a community-driven process. This effort identified the top priority adaptation actions for the city derived through stakeholder consensus.",,,,https://toolkit.climate.gov/case-study/bridgeport-connecticut-climate-preparedness-workshops,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-BRIDGEPORT-CONNECTICUT-CLIMATE-PREPAREDNESS-WORKSHOPS-CT-2012
Community Example,"Bridgeport, Connecticut Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2017,Connecticut,Bridgeport,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance; Farmers Market; Economic Development,"In 2017, Bridgeport, Connecticut used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2017-04/documents/lflp_partners_report_2017.pdf,2026-07-18,RERC-CASE-LFLP-BRIDGEPORT-CT-2017-EPA-SUMMARY-REPORT
Community Example,"Howard Street Apartments, New London, Conn.",EPA Brownfields Success Stories,Published case study,2023,Connecticut,City of New London,town_or_city,Communities looking for comparable examples,Cleanup,Brownfields; Land Revitalization; Housing; Waste Disposal Automotive Shop Dry Cleaners; Assessment Cleanup,"R1 Success Story: Howard Street Apartments, New London, Conn. This 197-unit building provides much-needed housing as it helps revitalize New London.",,,,https://www.epa.gov/brownfields/r1-success-story-howard-street-apartments-new-london-conn,2026-07-18,RERC-CASE-BROWNFIELDS-SUCCESS-STORIES-HOWARD-STREET-APARTMENTS-NEW-LONDON-CONN-CT-2023
Community Example,"Swift Factory, Hartford, Conn.",EPA Brownfields Success Stories,Published case study,2019,Connecticut,Community Solutions,town_or_city,Communities looking for comparable examples,Cleanup,Brownfields; Land Revitalization; EPA Assessment Grant EPA Revolving Loan Grant,"R1 Success Story: Swift Factory, Hartford, Conn. (pdf) (970.54 KB, September 2019, EPA 560-A-19-001) A former gold‐leafing factory sprawling over 82,000 square feet in Northeast Hartford, the Swift Factory brownfields site is being turned into a community center focused on health care and innovative enterprises in the food industry.",,,,https://www.epa.gov/brownfields/r1-success-story-swift-factory-hartford-conn,2026-07-18,RERC-CASE-BROWNFIELDS-SUCCESS-STORIES-SWIFT-FACTORY-HARTFORD-CONN-CT-2019
Community Example,"639 Main Street, East Hartford, Conn.",EPA Brownfields Success Stories,Published case study,2021,Connecticut,East Hartford,town_or_city,Communities looking for comparable examples,Cleanup,Brownfields; Land Revitalization; Coffee Shop; Assessment,"R1 Success Story: 639 Main Street, East Hartford, Conn. Most recently and notoriously, a former nightclub was shuttered there after several instances of illegal activity.",,,,https://www.epa.gov/brownfields/r1-success-story-639-main-street-east-hartford-conn,2026-07-18,RERC-CASE-BROWNFIELDS-SUCCESS-STORIES-639-MAIN-STREET-EAST-HARTFORD-CONN-CT-2021
Community Example,"United Community Family Services, Griswold, Conn.",EPA Brownfields Success Stories,Published case study,2019,Connecticut,Griswold,town_or_city,Communities looking for comparable examples,Cleanup,Brownfields; Land Revitalization,"R1 Success Story: United Community Family Services, Griswold, Conn. (pdf) (363.48 KB, April 2019, EPA 560-A-19-004) For 139 years United Community and Family Services (UCFS) has provided primary, preventative, and behavioral health care to the communities in eastern Connecticut.",,,,https://www.epa.gov/brownfields/r1-success-story-united-community-family-services-griswold-conn,2026-07-18,RERC-CASE-BROWNFIELDS-SUCCESS-STORIES-UNITED-COMMUNITY-FAMILY-SERVICES-GRISWOLD-CONN-CT-2019
Community Example,"Coastal Adaptation Plan for the Town of Groton, Connecticut",U.S. Climate Resilience Toolkit,Published case study,2009,Connecticut,Groton,town_or_city,Communities looking for comparable examples,Implementation,"Climate Resilience; Extreme Heat; Flooding - Coastal; Shifting Species, Habitats, and Ecosystems","Environmental Protection Agency’s Climate Ready Estuaries Program to develop a climate change preparedness plan for the Town of Groton, Connecticut. With support from ICLEI and the Connecticut Department of Energy and Environmental Protection (DEEP), LISS hosted a series of workshops to educate government officials on climate change, identify local vulnerabilities, and develop adaptation strategies.",,,,https://toolkit.climate.gov/case-study/coastal-adaptation-plan-town-groton-connecticut,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-COASTAL-ADAPTATION-PLAN-FOR-THE-TOWN-OF-GROTON-CONNECTICUT-CT-2009
Community Example,"Meriden Green, Meriden, Conn.",EPA Brownfields Success Stories,Published case study,2023,Connecticut,Meriden,town_or_city,Communities looking for comparable examples,Cleanup,Brownfields; Land Revitalization; Public Park; Industrial Commercial,"R1 Success Story: Meriden Green, Meriden, Conn. Meriden made this possible by integrating the cleanup of the once-blighted area with adaptation infrastructure that will improve the ability of this city of 60,000 residents to deal with future flooding and storms.",,,,https://www.epa.gov/brownfields/r1-success-story-meriden-green-meriden-conn,2026-07-18,RERC-CASE-BROWNFIELDS-SUCCESS-STORIES-MERIDEN-GREEN-MERIDEN-CONN-CT-2023
Community Example,"Ryan Park, Norwalk, Conn.",EPA Brownfields Success Stories,Published case study,2020,Connecticut,Norwalk,town_or_city,Communities looking for comparable examples,Cleanup,Brownfields; Land Revitalization; Park and open space; Manufacturing Complex; Community-wide Assessment,"R1 Success Story: Ryan Park, Norwalk, Conn. This beautifully restored park is close to downtown Norwalk, a community settled in 1649 and now part of the New York metropolitan area.",,,,https://www.epa.gov/brownfields/r1-success-story-ryan-park-norwalk-conn,2026-07-18,RERC-CASE-BROWNFIELDS-SUCCESS-STORIES-RYAN-PARK-NORWALK-CONN-CT-2020
Community Example,"Torin Site, Torrington, Conn.",EPA Brownfields Success Stories,Published case study,2023,Connecticut,Torrington,town_or_city,Communities looking for comparable examples,Cleanup,"Brownfields; Land Revitalization; Mixed-Use Commercial, Residential Development; Metal Plating, Manufacturing","R1 Success Story: Torin Site, Torrington, Conn. Despite several challenges along the way, the Torin site was revitalized over time thanks to strong and committed partnerships.",,,,https://www.epa.gov/brownfields/r1-success-story-torin-site-torrington-conn,2026-07-18,RERC-CASE-BROWNFIELDS-SUCCESS-STORIES-TORIN-SITE-TORRINGTON-CONN-CT-2023
Community Example,"Willimantic Whitewater, Willimantic, Conn.",EPA Brownfields Success Stories,Published case study,2020,Connecticut,Willimantic,town_or_city,Communities looking for comparable examples,Cleanup,Brownfields; Land Revitalization; Recreational Park; Textile Mill,"R1 Success Story: Willimantic Whitewater, Willimantic, Conn. History Founded in 1893, Willimantic is known as Thread City for its history of textile mills during the 19th and 20th centuries.",,,,https://www.epa.gov/brownfields/r1-success-story-willimantic-whitewater-willimantic-conn,2026-07-18,RERC-CASE-BROWNFIELDS-SUCCESS-STORIES-WILLIMANTIC-WHITEWATER-WILLIMANTIC-CONN-CT-2020
Community Example,Brownfield to Brewery: DNREC delivers a win-win in Delaware,EPA Brownfields Success Stories,Published case study,2019,Delaware,Multiple communities,statewide_or_multi_community,Communities looking for comparable examples,Cleanup,"Brownfields; Land Revitalization; Brewery,; Chemical; Environmental","Brownfield to Brewery: DNREC delivers a win-win in Delaware Harper Thiel Inc. In 1930, Delaware Department of the site was transitioned to a research laboratory for the Darco Natural Resources and Division of the Atlas Powder Co., which manufactured black powder Environmental Control, and and dynamite.",,,,https://www.epa.gov/sites/default/files/2019-03/documents/brownfields_to_brewery.pdf,2026-07-18,RERC-CASE-BROWNFIELDS-SUCCESS-STORIES-BROWNFIELD-TO-BREWERY-DNREC-DELIVERS-A-WIN-WIN-IN-DELAWARE-DE-2019
Community Example,Identifying Opportunities for Climate Adaptation in the Delaware Estuary,U.S. Climate Resilience Toolkit,Published case study,2008,Delaware,Multiple communities,statewide_or_multi_community,Communities looking for comparable examples,Implementation,"Climate Resilience; Extreme Heat; Flooding - Coastal; Flooding - General; Flooding - Rainfall-induced; Shifting Species, Habitats, and Ecosystems; Vector-Borne Disease; Water Quality","The Delaware Estuary has a nearly continuous fringe of diverse types of tidal marshes, which serve as critical habitat for fish and wildlife and provide important services for residents in the surrounding area. Much of this habitat is presently stressed by human alterations and activities and climate change impacts appear to be exacerbating these issues.",,,,https://toolkit.climate.gov/case-study/identifying-opportunities-climate-adaptation-delaware-estuary,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-IDENTIFYING-OPPORTUNITIES-FOR-CLIMATE-ADAPTATION-IN-THE-DELAWARE-ESTUARY-DE-2008
Community Example,"Yorklyn, DE: Clean Water Funds Brownfield Redevelopment",EPA Brownfields Success Stories,Published case study,2019,Delaware,Yorklyn,town_or_city,Communities looking for comparable examples,Cleanup,Brownfields; Land Revitalization; Mixed Use/Commercial,"Brownfields Success Story Clean Water Funds Brownfield Redevelopment - Yorklyn, Delaware In the late 1800s, the Marshall Brothers Paper Mill opened business and developed deep roots in Yorklyn, Delaware. The mill initially produced grist, snuff, paper, and fiber.",,,,https://www.epa.gov/brownfields/yorklyn-de-clean-water-funds-brownfield-redevelopment,2026-07-18,RERC-CASE-BROWNFIELDS-SUCCESS-STORIES-YORKLYN-DE-CLEAN-WATER-FUNDS-BROWNFIELD-REDEVELOPMENT-DE-2019
Community Example,"Smart Growth Illustrated: Mizner Park - Boca Raton, Florida",EPA Examples of Smart Growth Communities and Projects,Published case study,,Florida,Boca Raton,town_or_city,Communities looking for comparable examples,Implementation,Smart Growth Illustrated; smart growth principles; built environment; community design; downtown revitalization; housing choice; revitalization,The mixed-use Mizner Park town center demonstrates how suburban communities can create lively downtowns by redeveloping abandoned shopping centers. Redeveloping the underused Boca Raton Mall into a town center removed a blighted property and helped revitalize the surrounding community.,,,,https://www.epa.gov/smartgrowth/direct-development-towards-existing-communities-mizner-park-boca-raton-florida,2026-07-18,RERC-CASE-SMART-GROWTH-EXAMPLES-SMART-GROWTH-ILLUSTRATED-MIZNER-PARK-BOCA-RATON-FL
Community Example,Climate Change and the Florida Keys,U.S. Climate Resilience Toolkit,Published case study,2010,Florida,Florida Keys,county_or_region,Communities looking for comparable examples,Implementation,Climate Resilience; Extreme Heat; Flooding - Coastal; Flooding - General; Economy; Water Infrastructure - General; Water Infrastructure - Wastewater,"This project was modeled after a similar effort conducted in the Great Barrier Reef, Australia. It identifies community perceptions on how to address mitigation and adaptation, and analyzes the likely socioeconomic and biophysical impacts of climate change on the region.",,,,https://toolkit.climate.gov/case-study/climate-change-and-florida-keys,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-CLIMATE-CHANGE-AND-THE-FLORIDA-KEYS-FL-2010
